Name,Province,Municipality,Latitude,Longitude,Budget level,Entrance Fee,Pricing Type,Fee Operational Notes,Transportation Fares,Estimated Cost,Recommended Minutes ,Tag 1,Tag 2,Tag 3
Calatagan Beach,Batangas,Calatagan,13.830323,120.639487,Mid-range,₱30.00,Permit / Conservation Fee,Basic municipal ecological entry token.,,,,beach,relaxation,family-friendly
Caliraya Lake,Laguna,Cavinti,14.292147,121.530705,Mid-range,₱0.00,Free,Public roads are free; resorts charge separate fees.,,,,nature,adventure,water-activities
Callao Cave,Cagayan,Peñablanca,17.707642,121.819479,Economy,₱50.00,Fixed Rate,Standard visitor entrance fee for cave path.,,,,nature,historical,adventure
Calle Crisologo,Ilocos Sur,Vigan City,17.571453,120.388774,Economy,₱0.00,Free,Public pedestrian heritage street; open 24/7.,,,,historical,cultural,shopping
Camp John Hay,Benguet,Baguio City,16.397062,120.611361,Mid-range,₱85.00,Tiered / Variable,₱85 for Historical Core; eco-spaces are free.,,,,mountain,nature,relaxation
Cape Bojeador Lighthouse,Ilocos Norte,Burgos,18.512074,120.597709,Economy,₱50.00,Fixed Rate,Local historical preservation donation.,,,,historical,cultural,photography
Cape Engaño Lighthouse,Cagayan,Santa Ana,18.579830,122.137612,Mid-range,₱50.00,Permit / Conservation Fee,Covered within Palaui Island registration package.,,,,historical,mountain,adventure
Caramoan Islands,Camarines Sur,Caramoan,13.792959,123.819527,Mid-range,₱30.00,Permit / Conservation Fee,Mandated municipal environmental tourism card.,,,,beach,adventure,water-activities
Casapsapan Beach,Aurora,Casiguran,16.290094,122.191923,Economy,₱0.00,Free,Free beach access; primitive camping is ₱100.,,,,beach,nature,relaxation
Cavinti Underground River and Caves,Laguna,Cavinti,14.280809,121.634906,Mid-range,₱200.00,Fixed Rate,Base fee; safety gear and guides cost extra.,,,,nature,adventure,water-activities
Chico River,Kalinga,Tabuk City,17.399876,121.248715,Mid-range,₱0.00,Free,"Free river access; rafting guides cost ₱1,500–₱2,500.",,,,mountain,adventure,water-activities
Clark Freeport Zone,Pampanga,Angeles City,15.177584,120.515671,Mid-range,₱0.00,Free,Free zone entry; individual attractions vary.,,,,city,food-and-dining,shopping
Cloud 9 Antipolo,Rizal,Antipolo City,14.613339,121.154310,Economy,₱100.00,Tiered / Variable,Standard walk-in fee; fee is waived if dining at the restaurant.,,,,food-and-dining,city,photography
Coron,Palawan,Coron,12.000258,120.204055,Mid-range,₱200.00,Permit / Conservation Fee,Municipal environmental tax collected at ports.,,,,beach,adventure,water-activities
Culion Island,Palawan,Culion,11.849906,119.951326,Mid-range,₱100.00,Permit / Conservation Fee,Municipal historical preservation fee.,,,,historical,cultural,beach
Daranak Falls,Rizal,Tanay,14.543865,121.311023,Economy,₱50.00,Fixed Rate,Standard adult general admission fee.,,,,nature,budget-friendly,water-activities
Dicasalarin Cove,Aurora,Baler,15.738260,121.633677,Premium,₱300.00,Fixed Rate,Day pass for private cove and weather station.,,,,beach,mountain,romantic
Dinadiawan Beach,Aurora,Dipaculao,16.076142,121.754825,Economy,₱0.00,Free,Free highway view; private resort gates vary.,,,,beach,nature,relaxation
Dinapigue Coastal Area,Isabela,Dinapigue,16.691532,122.213893,Economy,₱50.00,Permit / Conservation Fee,Basic municipal environmental registration.,,,,beach,nature,adventure
Dingalan Mountain View,Aurora,Dingalan,15.376633,121.428373,Economy,₱50.00,Permit / Conservation Fee,Eco fee; excludes ₱100 guide fee.,,,,mountain,nature,adventure
Ditumabo Mother Falls,Aurora,San Luis,15.701326,121.471627,Economy,₱30.00,Fixed Rate,Maintenance and concrete walkway upkeep fee.,,,,nature,adventure,water-activities
El Nido,Palawan,El Nido,11.199098,119.420773,Premium,₱200.00,Permit / Conservation Fee,Eco-Tourism Fee (ETDF); valid for 10 days.,,,,beach,adventure,romantic
Enchanted Kingdom,Laguna,Santa Rosa City,14.282223,121.096685,Premium,"₱1,400.00",Tiered / Variable,"₱1,400 Regular Day Pass; junior/senior discounts apply.",,,,city,adventure,family-friendly
Fort Santiago,Metro Manila,Manila,14.594235,120.970412,Economy,₱150.00,Tiered / Variable,₱150 for adults; ₱100 for students and seniors.,,,,historical,cultural,family-friendly
Hinulugang Taktak,Rizal,Antipolo City,14.594717,121.167517,Economy,₱30.00,Fixed Rate,Base registration fee; pool usage runs extra.,,,,nature,family-friendly,budget-friendly
Hulugan Falls,Laguna,Luisiana,14.210942,121.479844,Economy,₱40.00,Fixed Rate,Trailhead fee; excludes optional guide tips.,,,,nature,adventure,water-activities
Hundred Islands National Park,Pangasinan,Alaminos City,16.200431,121.037637,Economy,₱100.00,Permit / Conservation Fee,Environmental pass; excludes boat rentals.,,,,beach,adventure,water-activities
Intramuros,Metro Manila,Manila,14.591874,120.974493,Economy,₱0.00,Free,General district entry is free; sub-sites vary.,,,,historical,cultural,romantic
Ipo Dam View,Bulacan,Norzagaray,14.885236,121.136776,Economy,₱0.00,Free,Free roadside viewing; watershed requires permit.,,,,nature,mountain,budget-friendly
Jomalig Island,Quezon,Jomalig,14.699717,122.367010,Economy,₱250.00,Permit / Conservation Fee,"Composite entry, eco, and welcome asset fee.",,,,beach,nature,relaxation
Kapurpurawan Rock Formations,Ilocos Norte,Burgos,18.538959,120.653475,Economy,₱30.00,Fixed Rate,Municipal fee to protect limestone rock faces.,,,,nature,photography,
Kayangan Lake,Palawan,Coron,11.957834,120.226037,Premium,₱300.00,Permit / Conservation Fee,Ancestral domain fee collected by Tagbanwa tribe.,,,,nature,photography,water-activities
Kiltepan Viewpoint,Mountain Province,Sagada,17.093882,120.913504,Economy,₱50.00,Fixed Rate,Local environment and cleanup fee at sunrise deck.,,,,mountain,nature,photography
La Mesa Eco Park,Metro Manila,Quezon City,14.712952,121.073234,Economy,₱50.00,Fixed Rate,Nature preserve maintenance and watershed fee.,,,,nature,family-friendly,budget-friendly
Laiya Beach,Batangas,San Juan,13.663210,121.437360,Mid-range,₱20.00,Permit / Conservation Fee,Municipal tourism infrastructure support fee.,,,,beach,family-friendly,water-activities
Las Casas Filipinas de Acuzar,Bataan,Bagac,14.602635,120.386036,Premium,"₱2,500.00",Tiered / Variable,"₱2,500 standard pass; peak season pricing varies.",,,,historical,cultural,romantic
Lobo Beach,Batangas,Lobo,13.597784,121.271404,Economy,₱50.00,Permit / Conservation Fee,Municipal pebble ecosystem conservation fee.,,,,beach,nature,budget-friendly
Long Beach,Palawan,San Vicente,10.566121,119.300044,Mid-range,₱0.00,Permit / Conservation Fee,Free open public shoreline; no entrance gates.,,,,beach,relaxation,budget-friendly
Mabini Beach,Palawan,El Nido,11.117359,119.508319,Economy,₱0.00,Free,Free open public access to the raw shoreline.,,,,beach,budget-friendly,relaxation
Mabuhay Beach,Aklan,Malay,11.947871,121.931585,Mid-range,₱150.00,Permit / Conservation Fee,Standard Boracay municipal environmental fee applies.,,,,beach,relaxation,water-activities
Mag-aso Falls,Bohol,Antequera,9.784357,123.909616,Economy,₱20.00,Fixed Rate,Standard walk-in fee; separate minimal parking fees apply. ,,,,nature,adventure,water-activities
Masungi Georeserve,Rizal,Baras,14.603384,121.319734,Premium,"₱1,700.00",Permit / Conservation Fee,"₱1,700 Weekday / ₱2,000 Weekend; requires booking.",,,,mountain,nature,adventure
Mayon SkyDrive ATV Adventure,Albay,Daraga,13.164354,123.701462,Mid-range,₱500.00,Activity-Based,Starts at ₱500; prices vary by trail length and vehicle size.,,,,adventure,mountain,photography
Mayon Volcano Natural Park,Albay,Tabaco CIty,13.253188,123.685670,Economy,₱15.00,Permit / Conservation Fee,Mandatory environmental fees collected per person at designated park entry zones.,,,,mountain,nature,historical
Minalungao National Park,Nueva Ecija,General Tinio,15.297868,121.121120,Economy,₱100.00,Fixed Rate,Environmental river gorge registration fee.,,,,nature,adventure,water-activities
Minor Basilica of Our Lady of Piat,Cagayan,Piat,17.786933,121.480153,Economy,₱0.00,Free,Public pilgrimage site; free entry.,,,,historical,cultural,family-friendly
Mirador Heritage and Eco Park,Benguet,Baguio City,16.410027,120.579782,Economy,₱100.00,Fixed Rate,Upkeep fee for stone terrace trails and peace bell.,,,,mountain,cultural,relaxation
Mt. Batulao,Batangas,Nasugbu,14.039994,120.802292,Economy,₱150.00,Tiered / Variable,Cumulative registration across separate checkpoints.,,,,mountain,nature,adventure
Mt. Daraitan,Rizal,Tanay,14.612888,121.438889,Economy,₱100.00,Permit / Conservation Fee,Unified environmental clearance and safety pass.,,,,mountain,adventure,camping
Mt. Pinatubo,Tarlac,Capas,15.142627,120.349470,Premium,"₱1,000.00",Permit / Conservation Fee,"Includes domain tax, eco-clearance, and bot fees.",,,,mountain,adventure,photography
Mt. Pulag,Benguet,Kabayan,16.597416,120.899252,Mid-range,₱175.00,Permit / Conservation Fee,DENR registration fee; excludes guide fees.,,,,mountain,adventure,camping
Mt. Ulap,Benguet,Itogon,16.289879,120.631052,Economy,₱150.00,Fixed Rate,Local registration fee per hiker at trailhead.,,,,mountain,adventure,photography
Museo  De Baler,Aurora,Baler,15.760120,121.561707,Economy,₱30.00,Fixed Rate,Covers entry to historical exhibits to Doña Aurora Quezon House.,,,,historical,cultural,budget-friendly
Nacpan Beach,Palawan,El Nido,11.321082,119.427839,Mid-range,₱0.00,Free,Separate ₱20 parking fees apply for motorbikes.,,,,beach,romantic,relaxation
Nagsasa Cove,Zambales,San Antonio,14.918708,120.063682,Economy,₱100.00,Fixed Rate,Base environmental user fee for coastal valley.,,,,beach,camping,water-activities
Nagtabon Beach,Palawan,Puerto Princesa,9.934770,118.645225,Economy,₱0.00,Free,Free open beach; optional ₱20 parking fee.,,,,beach,nature,relaxation
National Museum of the Philippines,Metro Manila,Manila,14.589514,120.874769,Economy,₱0.00,Free,Free entry for visitors; groups of 20+ must book online in advance.,,,,historical,cultural,budget-friendly
Palaui Island,Cagayan,Santa Ana,18.558819,122.140509,Mid-range,₱70.00,Permit / Conservation Fee,Separate mandatory guide and boat rental rates apply.,,,,beach,adventure,camping
Pamulaklakin Forest Trail,Bataan,Subic,14.805096,120.330100,Economy,₱100.00,Fixed Rate,Traditional forest trail preservation and maintenance fee.,,,,nature,cultural,adventure
Paoay Sand Dunes Adventures,Ilocos Norte,Paoay,18.140602,120.517080,Premium,"₱2,500.00",Activity-Based,Fits 5 people per 4x4; package includes unlimited sandboarding.,,,,adventure,photography,
Pinto Art Museum,Rizal,Antipolo City,14.581734,121.164624,Mid-range,₱250.00,Tiered / Variable,₱250 for adults; ₱200 for seniors/students.,,,,cultural,romantic,photography
Puerto Galera,Oriental Mindoro,Puerto Galera,13.497924,120.953136,Mid-range,₱120.00,Permit / Conservation Fee,Environmental safety tax collected at entry port.,,,,beach,food-and-dining,water-activities
Puerto Princesa Underground River,Palawan,Puerto Princesa,10.192558,118.926586,Mid-range,₱500.00,Permit / Conservation Fee,Subterranean cave permit fee; excludes boat fares.,,,,nature,adventure,water-activities
Quezon Protected Landscape,Quezon,Atimonan,13.989492,121.816365,Economy,₱30.00,Permit / Conservation Fee,Separate vehicle environmental fees and trail guide costs apply.,,,,nature,adventure,camping
Rizal Park,Metro Manila,Manila,14.582645,120.978689,Economy,₱0.00,Free,Free public park; enclosed gardens cost ₱10–₱20.,,,,historical,city,family-friendly
Sabang Beach,Aurora,Baler,15.756836,121.579561,Economy,₱0.00,Free,Open public municipal surf break; no gates.,,,,beach,adventure,water-activities
Sagada,Mountain Province,Sagada,17.097163,120.906773,Economy,₱100.00,Permit / Conservation Fee,Mandatory tourist tracking card fee at tourism center.,,,,mountain,cultural,adventure
Sagada Sumaguing Cave,Mountain Province,Sagada,17.065697,120.902910,Mid-range,₱800.00,Activity-Based,Covers 4 guests; requires separate town environmental receipt.,,,,nature,adventure,
San Agustin Church of Paoay,Ilocos Norte,Paoay,18.061690,120.521024,Economy,₱0.00,Free,National historical landmark; free entry.,,,,historical,cultural,photography
San Juan La Union,La Union,San Juan,16.670541,120.338178,Economy,₱50.00,Permit / Conservation Fee,Mandatory eco-tourism environmental fee collected from tourists.,,,,beach,food-and-dining,water-activities
Seven Lakes of San Pablo,Laguna,San Pablo City,14.066499,121.333247,Economy,₱0.00,Free,Free public lake lines; tricycle loops vary in cost.,,,,nature,countryside,relaxation
Sierra Madre Mountain View,Rizal,Tanay,14.579765,121.356232,Economy,₱0.00,Free,Open highway overlooks; roadside cafe orders separate.,,,,mountain,countryside,photography
Taal Basilica,Batangas,Taal,13.880402,120.924354,Economy,₱0.00,Free,Free entry; ₱50 fee applies to climb bell tower.,,,,historical,cultural,budget-friendly
Taal Volcano View,Cavite,Tagaytay City,14.094860,120.926915,Economy,₱0.00,Free,Commercial parks or restaurants charge separate entry fees.,,,,mountain,nature,photography
Tagaytay Picnic Grove,Cavite,Tagaytay City,14.124695,120.997784,Economy,₱75.00,Fixed Rate,Standard adult entry token for eco-ridge trails.,,,,countryside,family-friendly,budget-friendly
Taal Heritage Town,Batangas,Taal,13.880231,120.923766,Economy,₱0.00,Free,Free public street access; home donations vary.,,,,historical,cultural,photography
Tinipak River and Rock Formation,Rizal,Tanay,14.601220,121.438342,Economy,₱100.00,Permit / Conservation Fee,Combined barangay environment and rock formation pass.,,,,nature,camping,water-activities
Vigan Heritage Site,Ilocos Sur,Vigan City,17.574119,120.388707,Economy,₱0.00,Free,Free historical public district block access.,,,,historical,cultural,shopping
Wright Park,Benguet,Baguio City,16.415692,120.617223,Economy,₱0.00,Free,Free park lanes; horseback loops cost ₱200–₱300/hr.,,,,nature,family-friendly,relaxation
Zoobic Safari,Zambales,Subic,14.750741,120.266899,Premium,₱695.00,Fixed Rate,Matches the standard Subic Freeport ticket gate rate.,,,,nature,adventure,family-friendly
